2024-01-12 10:20:14 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:14 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:14 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:14 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:14 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:14 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:15 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:15 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:15 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:15 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:15 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:15 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:15 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:16 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:16 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:16 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:16 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:16 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:16 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:17 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:17 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:17 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:17 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:17 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:17 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:18 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:18 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:18 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:18 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:18 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:18 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:20:19 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
