2024-01-12 10:47:00 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:00 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:00 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:00 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:00 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:00 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:00 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:01 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:01 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:01 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:01 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:01 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:01 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:02 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:02 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:02 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:02 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:02 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:02 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:03 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:03 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:03 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:03 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:03 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:03 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:04 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:04 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:04 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:04 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:04 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:04 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:47:05 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
